Employee Id,Hourly Salary,Date Started,Phone Number,Name,Job
16096,17,3/17/18,4152860647,Tami Ellis,waitstaff
11284,17,5/8/18,4157841086,Seema Antoine,waitstaff
12236,17,5/27/19,4154209616,Miura Tetsuya,waitstaff
27489,17,10/18/18,4152821370,Priti Rajan,waitstaff
14903,17,10/31/19,4157663460,Devon May,waitstaff
25285,17,1/2/19,4152193196,Karen Gardner,waitstaff
31276,17,12/31/19,4155664066,Jose Santiago,waitstaff
35761,17,10/19/20,4156188406,Kate Quinn,waitstaff
15795,17,6/26/20,5126418435,Donald Murray,waitstaff
33288,17,1/31/20,4152355087,Jamie Hall,waitstaff
48880,17,5/15/20,4152277634,Pam Gregory,waitstaff
32410,17,10/15/20,4152424081,Oliver Young,waitstaff
49326,17,3/10/19,4156991845,Pablo Garcia,waitstaff
38707,17,4/17/20,4159874298,Darren Pratt,waitstaff
45355,20,12/13/20,4158753190,Natalie Miller,chef
33542,20,2/15/19,4152876749,Jared Finer,chef
16417,20,12/12/20,4155938694,Jenny Thomas,chef
24141,20,8/8/19,4159025428,Paige Jacobs,chef
41978,20,9/17/20,6508248227,Christina Johnson,chef
10223,20,8/31/18,4158649268,Jake Oddell,chef
15457,16.5,10/21/20,4154850184,Liam Henry,busboy
25447,16.5,5/11/18,6509662467,Will Rosenbloom,busboy
10772,16.5,4/24/18,4155710660,Perry Hershwin,busboy
18160,16.5,2/28/19,4159923015,Samuel Mack,cleaner
12704,16.5,2/10/20,4152834995,Lisa Daniels,cleaner
36708,20.5,3/13/19,9175801419,Ava Adams,manager
16312,20.5,8/18/19,4155874016,Rosa Gomez,manager
48049,20.5,6/30/18,4159441242,Kenneth Thompson,manager
18230,20.5,10/15/18,4084772478,Adam Lavitt,manager
